,od 01.01.2015 do 31.12.2015 (000’ PLN)
Przychody netto ze sprzedaży,17 707
Zysk (strata) na działalności operacyjnej,(3 898)
Zysk (strata) przed opodatkowaniem,(7 694)
Zysk (strata) netto,( 7 965)
Przepływy środków pieniężnych z działalności operacyjnej,(2 356)
Przepływy środków pieniężnych z działalności inwestycyjnej,2 535
Przepływy środków pieniężnych z działalności finansowej,121
Zwiększenie/zmniejszenie netto środków pieniężnych i ich ekwiwalentów,300
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcje w trakcie okresu (w zł na jedną akcję),"-0,2974"
