,od 01.01.2018 do 31.12.2018 (000’ PLN)
Przychody ze sprzedaży,171
Zysk (strata) na działalności operacyjnej,-941
Zysk (strata) przed opodatkowaniem,-866
Zysk (strata) netto,-1186
Przepływy środków pieniężnych z działalności operacyjnej,-1401
Przepływy środków pieniężnych z działalności inwestycyjnej,-
Przepływy środków pieniężnych z działalności finansowej,1 405
Zwiększenie/(zmniejszenie) netto środków pieniężnych i ich ekwiwalentów,4
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcję w trakcie okresu (w zł na jedną akcję),"-0,0531"
